place,latitude,longitude
 Amindivi Islands ,11.16166785,72.04450037714275
 Andretti Island ,,
" Lighthouse, Minicoy Island ",,
 Yacht Cruise ,,
 Parasailing in Lakshadweep ,,
 Elephanta Caves ,18.9635361,72.9313775
" Marine Drive, Mumbai ",18.9477975,72.8206759
 Juhu Beach ,19.122146450000002,72.81876151188848
 Colaba Causeway ,18.9169893,72.8272211
 Gateway of India ,18.9225901,72.83433537485362
 Film City Mumbai ,19.161697,72.88678
 Enjoy Street Food ,,
 Hanging Gardens ,13.10383925,80.28861375685798
 Prince of Wales Museum ,18.926823,72.8326017
 Mumbai Zoo ,18.979102,72.834093
 Essel World ,19.2253824,72.8080979
 National Museum of Indian Cinema ,18.9708283,72.807875
 Sanjay Gandhi National Park ,19.2316305,72.86428673847298
 Siddhivinayak Temple ,18.444366950000003,74.72637102911924
" National Gallery of Modern Art, Mumbai ",18.9258903,72.8312016
 Haji Ali Dargah ,18.9828229,72.8089926
" Fashion Street, Mumbai ",,
 Bandra Worli Sea Link ,19.0136539,72.8134202
 Chhatrapati Shivaji Terminus  ,18.9398641,72.8354116
 Kamala Nehru Park ,18.51719595,73.83484578271262
 KidZania Mumbai ,,
 ISKCON Temple Mumbai ,19.1129965,72.8264623
 Gorakhgad Trek ,19.1919806,73.5402583
 Kanheri Caves ,19.2058871,72.9067302
 Girgaum Chowpatty ,18.954354350000003,72.81232247040975
 Water Sports in Mandwa Beach ,,
 Global Vipassana Pagoda ,,
 Mahakali Caves ,19.1306093,72.87381645183467
 Lokhandwala Market ,19.1439977,72.82573052343596
" Hill Road and Linking Road, Bandra ",,
 Makarandgad Trek ,,
" Mahalaxmi temple, Mumbai ",,
 Jehangir Art Gallery ,18.927135300000003,72.83160487077883
 Naneghat ,19.2926638,73.6760867
 Haji Malang Dargah and Trek ,,
 Mahuli Trek ,,
 Jivdhan Trek ,,
" Jama Masjid, Mumbai ",19.051715700000003,72.83858500149947
 Mahipatagad Trek ,,
 Mount Mary Church ,19.046851750000002,72.82250235572701
 Gorai Beach ,19.256963,72.7830598
 Madh Island ,,
 Marve Beach ,19.203882,72.78582855652141
 Versova Beach ,19.1300123,72.81332507580646
 Dadar Chowpatty Beach ,,
 Aksa Beach ,19.1853321,72.79634888359624
 Kalamb Beach ,19.4021637,72.7761948
 Worli Sea Face ,19.005448,72.8137566
 Uran ,18.85535115,73.02478066625523
 Bandstand ,19.0504556,72.8218606
 Carter Road ,19.0619923,72.8222193
 Taj Mahal ,27.1750123,78.04209683661315
 Fatehpur Sikri ,27.0911655,77.6623984
 Agra Fort ,27.1798258,78.02082227320588
 Itimad-ud-daulah's Tomb ,27.192868249999997,78.03099451773602
 Mehtab Bagh ,27.1791872,78.04208545569259
 Shopping in Agra ,,
 Akbar's Tomb ,27.2204341,77.9504492
 Chini ka Rauza ,27.2008612,78.03438455
 Jhangir Mahal ,,
 Dolphin Water Park ,27.2383737,77.86744433098958
 Anguri Bagh ,27.17843165,78.02306778096775
 Taj Museum ,27.1731379,78.0406323
 Kalakriti Dance Drama Show ,,
 Taj Mahotsav ,,
 Wildlife SOS ,27.2998755,77.7937949
 Mother Teresa's Missionaries Of Charity ,,
 Friends Gokulam Fun City Water Park ,,
 Ram Barat ,22.60802605,88.45642952575955
 Edakkal Caves ,11.6266794,76.2354803
 Stay in a Treehouse ,,
 Vythiri ,11.5560885,76.038922
 Sulthan Bathery ,11.72639615,76.32799237426437
 Pookode Lake ,11.542333750000001,76.02730642785315
 Kanthanpara Waterfall ,,
 Chain Tree ,,
 Thirunelli Temple ,11.9072235,75.9911202
 Lakkidi View Point ,,
 Banasura Hill ,,
 Neelimala Viewpoint ,11.5334912,76.2278983
 Chethalayam Waterfalls ,,
 Palchuram Waterfalls ,,
 Poopoli Wayanad Flower Show ,,
 Meenmutty ,9.901979350000001,76.76398089336739
 Valliyoorkavu Bhagavathy Temple ,,
 Kalpetta ,11.6136614,76.0851692
 Thrissilery Shiva Temple ,11.8515576,76.01652040062254
 Seetha Devi Temple ,11.7928049,76.16877522797267
 E3 Theme Park ,11.7666666,75.89831671401345
 Ramoji Film City ,17.252415300000003,78.67995706162694
 Golconda Fort ,17.3833665,78.4010990950247
 Charminar ,17.361602400000002,78.47464213773966
 Thrill City ,23.079187400000002,72.49696910823157
 Wonderla ,12.8382537,77.4026801
 Statue of Equality ,19.02230875,72.83317549185975
 GravityZip ,,
 Chowmahalla Palace ,17.35758165,78.47170545810262
 Shilparamam ,17.38284695,78.55580782214446
 Taramati Baradari ,17.3761241,78.3781632
 Jala Vihar ,,
 Nehru Zoological Park ,17.35144185,78.44555984216913
 B,15.008943250000002,74.04859791620883
 KBR National Park ,17.4202917,78.42046362794693
 Snow World Hyderabad ,17.4143801,78.4808321
 Hyd Selfie Museum ,,
 Salar Jung Museum ,17.371392,78.48014981700423
 Qutub Shahi Tombs ,17.39560535,78.39692303808157
 Irani Cafes ,17.4359573,78.5187439
 Lumbini Park ,17.409892,78.47291996753384
 Laad Bazaar ,,
 Inorbit Mall ,19.172965400000002,72.83507693542902
 IKEA Hyderabad ,17.43875905,78.37512357460284
 Hyderabadi Pearl Shopping ,,
 Sarath City Mall ,17.4578165,78.3639655
 Durgam Cheruvu Bride ,,
 Hyderabad Botanical Garden ,17.4556985,78.362218
 Taj Falaknuma Palace ,17.33092825,78.46726226807871
 Mount Opera Theme Park Resort ,,
 Necklace Road ,17.4233355,78.4631857
 Food in Hyderabad ,17.3596267,78.4740709
 Himayat Sagar Lake ,,
 NTR Gardens ,17.412728350000002,78.46881239946303
 Ratnalyam Temple ,,
 Shilparamam Uppal ,17.38284695,78.55580782214446
 Chilkur Balaji Temple ,17.35881165,78.29884550354765
 Iskcon Hyderabad ,17.442076,78.5055212
 Tank Bund ,18.1668644,78.9028611
 Forum Sujana Mall ,17.484167300000003,78.38889795931695
 Sanjeevaiah Park ,17.432142849999998,78.47593069156379
 Mecca Masjid ,17.36065995,78.47360632281826
 Sudha Cars Museum ,,
 Purani Haveli ,17.3663487,78.4805382
 Durgam Cheruvu ,17.43105525,78.38973054197749
 Paigah Tombs ,17.3439886,78.50387564644501
 Sanghi Temple ,17.266751550000002,78.6758306024831
 GVK One Mall ,17.41928475,78.44847891989568
 Aero Plaza Hyderabad Airport ,,
 Buddha Statue Hyderabad ,17.415567,78.4750947577165
" Paradise Beach, Pondicherry ",11.86983405,79.81988773943826
 Auroville ,12.0054211,79.8110999
 Scuba Diving in Pondicherry ,,
 Arikamedu ,11.9023146,79.81995619957695
 Cafes in Pondicherry ,10.88978,79.8226393
 Seaside Promenade ,,
 Promenade Beach ,11.933305350000001,79.83565545848926
 Serenity Beach ,11.9705187,79.84455616968711
 Cycling in Pondicherry ,,
 Chunnambar Boat House ,,
 Basilica of the Sacred Heart of Jesus ,11.92618115,79.82707534902148
 Water Sports in Pondicherry ,,
" Botanical Garden, Pondicherry ",11.9297545,79.8236771
 Pondicherry Lighthouse ,11.9165866,79.8308243
 Jawahar Toy Museum ,,
 Raj Niwas ,,
 French War Memorial ,11.9319161,79.8353537
 Sri Manakula Vinayagar Temple ,11.9357676,79.83358705368732
 Pondicherry Museum ,12.6993175,80.2211476
 Veerampattinam Beach ,,
 Gokilambal Thirukameswar Temple ,,
 Chidambaram ,11.41018075,79.67222017841891
 Bharathi Park ,11.020616650000001,76.94773675148059
 Immaculate Conception Cathedral ,43.6616138,-70.25433529338682
 Varadaraja Perumal Temple ,11.480332350000001,77.86421284623177
 Church of Our Lady of Angels ,,
 The Statue of Dupleix ,,
 Aayi Mandapam ,,
 Meeran Mosque ,,
 Cluny Embroidery Centre ,,
 Ananda Ranga Pillai Mansion ,,
 Ganesh Garden ,18.4614369,73.82327584297526
 ISKCON Pondicherry ,,
 Ousteri Wetland and National Park ,,
 Sri Karneshwar Nataraja Temple ,,
 International Center for Yoga Education and Research (ICYER) ,,
 Mahatma Gandhi Statue ,22.09052,88.040173
" Auroville Ashram, Pondicherry ",,
 Relish a Mesmerizing Sunrise ,,
 Yanam Beach ,,
 White Town ,13.08011145,80.2855631158918
 Vedapureeswarar Temple ,,
 Karaikal Beach ,10.91698015,79.85292892529928
 Quiet Beach ,,
 Mahe Beach ,11.6990746,75.53273656251984
 Reppo Beach ,,
 India Gate ,28.6129332,77.22949282049879
 Qutub Minar ,28.524413,77.18545014156862
 Akshardham Temple Delhi ,28.61251665,77.27731839825316
 Humayun's Tomb ,28.5932856,77.2506468018002
 Hauz Khas Village ,28.55385485,77.19462569608316
 Museum of Illusions ,28.6334186,77.2180754
" National Gallery Of Modern Art, Delhi ",28.609633350000003,77.23418311925701
 Lotus Temple ,17.5868304,78.9419664
 Red Fort ,28.65608095,77.24079592327321
 Agrasen ki Baoli ,28.626067550000002,77.2250111
 Sunder Nursery ,28.596909750000002,77.24701877915552
 Garden of Five Senses ,28.5137724,77.1983444893105
 Lodhi Garden ,28.59626845,77.22155326227056
 Waste to Wonder Park ,,
 Chandni Chowk ,28.6559834,77.2321937
 Dilli Haat ,28.573246500000003,77.20739387416522
 Bharat Darshan Park ,,
 Pradhanmantri Sangrahalaya ,,
" Rail Museum, Delhi ",28.5872076,77.1855505
 Nizamuddin Dargah ,28.591367050000002,77.24198072598155
" Jantar Mantar, Delhi ",28.627201999999997,77.2163845064627
 Delhi Zoo ,28.6084393,77.2402124
